Bigram,Count
Dobby: The,1
The best,1
best LLM,1
"LLM personality,",1
"personality, outperforming",1
outperforming SOTA,1
SOTA models.,1
models. Compare,1
Compare with,1
with Llama,1
Llama 70B:,1
70B: https://t.co/lcFI4d7mhX,1
https://t.co/lcFI4d7mhX #AI,2
#AI #LLM,14
#LLM for,1
for a,1
a couple,1
couple of,1
of seconds,1
seconds Dobby:,1
Dobby: the,1
the ultimate,1
ultimate LLM,1
LLM personality—outshining,1
personality—outshining SOTA.,1
"SOTA. Thanks,",1
"Thanks, @confident_ai.",1
@confident_ai. Compare:,1
Compare: https://t.co/lcFI4d7mhX,1
#LLM @SentientAGI,1
sn-news: #open,1
#open #ai,1
#ai #ml,1
#ml #llm,1
#llm Researchers,1
Researchers open,1
open source,2
"source Sky-T1,",1
"Sky-T1, a",1
a ‘reasoning’,1
‘reasoning’ AI,1
AI model,2
model that,2
that can,1
can be,1
be trained,1
trained for,1
for less,1
less than,1
than $450,1
$450 https://t.co/0SpdH3rCVY,1
Introducing Root,1
"Root Judge,",1
"Judge, a",1
a powerful,1
powerful mid-sized,1
mid-sized LLM,1
LLM that,1
that enables,1
enables reliable,1
reliable and,1
and customizable,1
customizable LLM,1
LLM system,1
system evaluations.,1
evaluations. Trained,1
Trained on,1
on 384,1
384 AMD,1
AMD Radeon,1
Radeon Instinct™,1
Instinct™ MI250X,1
MI250X GPUs,1
GPUs using,1
using the,1
the LUMI,1
LUMI Supercomputer.,1
Supercomputer. #LLM,1
#LLM #LLMs,1
#LLMs #evaluation,1
#evaluation #llm_as_a_judge,1
#llm_as_a_judge #llama,1
#llama @RootSignals,1
@RootSignals Check:,1
Check: https://t.co/VBiCck3jM8,1
https://t.co/VBiCck3jM8 https://t.co/UhOXzSwjD5,1
El lado,1
lado del,1
del mal,1
mal -,1
- Perplexity,1
Perplexity Pro,1
Pro Deep,1
Deep Research:,1
Research: Gratis,1
Gratis para,1
para todos,1
todos los,1
los clientes,1
clientes de,1
de Movistar,1
Movistar https://t.co/g6UjCKsysq,1
https://t.co/g6UjCKsysq #Perplexity,1
#Perplexity #Movistar,1
#Movistar #Telefónica,1
#Telefónica #IA,1
#IA #AI,1
#AI #GenAI,2
#GenAI #LLM,3
#LLM #DeepResearch,1
#DeepResearch https://t.co/ATuoABm6wk,1
「On Context,1
Context Utilization,1
Utilization in,1
in Summarization,1
Summarization with,1
with Large,1
Large Language,3
Language Models」,1
Models」 LLMは100kトークンを超えるような長い入力コンテキストを扱えるようになったが、質問応答では、言語モデルは入力コンテキストの活用にばらつきがある。,1
LLMは100kトークンを超えるような長い入力コンテキストを扱えるようになったが、質問応答では、言語モデルは入力コンテキストの活用にばらつきがある。 https://t.co/DY1ZLXL64O,1
https://t.co/DY1ZLXL64O #論文,1
#論文 #LLM,1
#LLM #エンジニア,1
#エンジニア #スタートアップ,1
The Attention,1
Attention Mechanism,1
Mechanism That,1
That Skips,1
Skips the,1
the Chit-Chat!!🚋,1
Chit-Chat!!🚋 👉https://t.co/4tYbRSkIYF,1
👉https://t.co/4tYbRSkIYF #DeepSeek,1
#DeepSeek #attention,1
#attention #llm,1
#llm DeepSeek,1
DeepSeek dropped,1
dropped a,1
a new,2
new paper—Natively,1
paper—Natively trainable,1
trainable Sparse,1
Sparse Attention,1
"Attention (NSA),",1
"(NSA), a",1
new sparse,1
sparse attention,1
attention mechanism,1
mechanism that,1
that integrates,1
integrates hardware-optimized,1
hardware-optimized design,1
design with,1
with a,2
a hierarchical,1
hierarchical sparse…,1
sparse… https://t.co/4dCxmRtttH,1
https://t.co/4dCxmRtttH https://t.co/JHNHhCc2IK,1
DeepSeek in,1
in my,1
my Engineer’s,1
Engineer’s Eyes,1
Eyes @rsstabs,1
@rsstabs https://t.co/b8gvrByaiq,1
https://t.co/b8gvrByaiq #llm-applications,1
#llm-applications #genai,1
#genai #deepseek,1
#deepseek #generative-ai-tools,1
#generative-ai-tools #machine-learning,1
Qwen #LLM,1
#LLM ...,1
... What,1
What it,1
it really,1
really means,1
means https://t.co/FchthtRpey,1
SGPT-3.0 #LLM,2
#LLM #Grok3,3
#Grok3 #SGPT,2
#SGPT https://t.co/16zam6f49j,1
https://t.co/16zam6f49j https://t.co/aVTfKGkI7F,1
This domain,1
domain name,1
name is,1
is for,1
for sale.,1
sale. https://t.co/kh2NrPtLSy,1
https://t.co/kh2NrPtLSy #ai,1
#ai #jais,1
#jais #LLM,1
#LLM #domain,1
#domain #GPT,1
#GPT #Arab,1
#Arab #Arabic,1
#Arabic #Dubai,1
#Dubai #ABUDhabi,1
#ABUDhabi @AI_Arabic1,1
@AI_Arabic1 @Algorand_Arabic,1
@Algorand_Arabic #Domains,1
#Domains #domainsales,1
#domainsales #jaisai,1
#jaisai #DomainNameForSae,1
#DomainNameForSae #chatbot,1
#chatbot @G42ai,1
@G42ai @core42_ai,1
@core42_ai @Inception_AI,1
@Inception_AI https://t.co/kJHm8ZOqho,1
W&amp;B、LLM開発の強力な味方！実験管理、ハイパーパラメータ調整、モデル評価が簡単。ダッシュボードで進捗把握、チーム共有も◎。Traces機能でデバッグ効率UP。基盤モデル構築、ファインチューニング、アプリ開発に最適。今後はCI/CD自動化も活用予定。#WeightsAndBiases #LLM,1
#LLM #AI,6
🫵 https://t.co/gOsgK4BPyv,5
https://t.co/gOsgK4BPyv »Like,1
»Like human,1
"human brains,",1
"brains, large",1
large language,1
language models,1
models reason,1
reason about,1
about diverse,1
diverse data,1
data in,1
in a,1
a general,1
general way«,1
way« https://t.co/XJlMNzcaRX,1
https://t.co/XJlMNzcaRX #AIagent,1
#AIagent #AI,5
#AI #ML,5
#ML #NLP,5
#NLP #LLM,6
#LLM #GenAI,6
https://t.co/gOsgK4BPyv »MIT,1
»MIT spinout,1
spinout maps,1
maps the,1
the body’s,1
body’s metabolites,1
metabolites to,1
to uncover,1
uncover the,1
the hidden,1
hidden drivers,1
drivers of,1
of disease«,1
disease« https://t.co/141LyhjiZ0,1
https://t.co/141LyhjiZ0 #AIagent,1
"Agent AI,",1
"AI, który",1
który sam,1
sam podejmuje,1
podejmuje decyzje,1
decyzje za,1
za Ciebie!,1
Ciebie! Jak,1
Jak to,1
to działa,1
działa w,1
w praktyce?,1
praktyce? 😱,1
"😱 Wbijaj,",1
"Wbijaj, żeby",1
żeby odsłuchać,1
odsłuchać odcinek,1
odcinek z,1
z @_overment,1
@_overment na:,1
na: 🔴,1
🔴 YouTube:,1
YouTube: https://t.co/UKPeCY7CoO,1
https://t.co/UKPeCY7CoO #ai,1
#ai #sztucznainteligencja,1
#sztucznainteligencja #llm,1
#llm https://t.co/UH2sZbHqGy,1
Need web/mobile,1
web/mobile clients,1
clients to,1
to hit,1
hit #LLM,1
#LLM inference,2
inference APIs,1
"APIs directly,",1
"directly, but",1
but providers,1
providers don't,1
don't offer,1
offer an,1
an API,1
API where,1
where a,1
a server,1
server can,1
can acquire,1
acquire an,1
an ephemeral,1
ephemeral API,1
API key,1
key that,1
that expires,1
expires in,1
in 15,1
15 mins,1
mins or,1
or less.,1
less. I,1
I shouldn't,1
shouldn't need,1
need to,1
to write,1
write up,1
up a,2
a proxy,1
proxy for,1
for this,1
this need.,1
need. /cc,1
/cc @OpenAI,1
@OpenAI @GoogleCloudTech,1
@GoogleCloudTech @GroqInc,1
@GroqInc @Azure,1
@Azure @ollama,1
How to,1
to grade,1
grade LLMs?,1
LLMs? 5,1
5 essential,1
essential metrics:,1
metrics: 1️⃣,1
1️⃣ Perplexity:,1
Perplexity: Measures,1
Measures uncertainty.,1
uncertainty. 2️⃣,1
2️⃣ BLEU:,1
BLEU: Compares,1
Compares to,1
to reference.,1
reference. 3️⃣,1
3️⃣ ROUGE:,1
ROUGE: Evaluates,1
Evaluates summarization.,1
summarization. 4️⃣,1
4️⃣ Humans:,1
Humans: Expert,1
Expert judgment.,1
judgment. 5️⃣,1
5️⃣ Task,1
Task Specific:,1
Specific: Goal,1
Goal performance.,1
performance. #LLM,1
#LLM #Evaluation,1
#Evaluation #Metrics,1
Agentic AI,2
AI Layers,1
Layers Source:@brijpandeyji,1
Source:@brijpandeyji #GenerativeAI,1
#GenerativeAI #GenAI,1
#LLM #LargeLanguageModel,1
#LargeLanguageModel #DataScience,1
#DataScience #AI,1
#AI #NaturalLanguageProcessing,1
#NaturalLanguageProcessing #data,1
#data #DataScience,1
#DataScience #BigData,1
#BigData #datascientist,1
#datascientist #dataanalytics,1
#dataanalytics #datamanagement,1
#datamanagement #datamining,1
#datamining #dataengineer,1
#dataengineer #agenticai,1
#agenticai #ArtificialIntelligence,1
#ArtificialIntelligence #MachineLearning,1
#MachineLearning https://t.co/ku5zhPTm7w,1
Today's the,1
the day!🚀Join,1
day!🚀Join #openEuler,1
#openEuler and,1
and researchers,1
researchers from,1
"from @uniofedinburgh,",1
"@uniofedinburgh, and",1
"and @PKU1898,",1
"@PKU1898, for",1
for an,1
an insightful,1
insightful workshop,1
workshop on,1
on the,2
the future,1
future of,1
"of #operatingsystems,",1
"#operatingsystems, #heterogeneous",1
"#heterogeneous systems,",1
"systems, #LLM,",1
"#LLM, and",1
and cutting-edge,1
cutting-edge techs.,1
techs. Register,1
Register now:,1
now: https://t.co/9C0T43j1FO,1
https://t.co/9C0T43j1FO #opensource,1
#opensource #OS,1
#OS https://t.co/9Sck0taXKo,1
An #AI,1
#AI that,1
that speaks,1
speaks your,1
"your language,",1
"language, understands",1
understands your,1
"your data,",1
"data, and",1
and delivers,1
"delivers relevant,",1
"relevant, reliable",1
reliable insights.,1
insights. 🤖💭,1
🤖💭 -,1
- the,3
the power,1
power of,1
of Tailor-Made,1
Tailor-Made Local,1
Local #LLM,1
#LLM with,1
with @RedHat,1
@RedHat ®,1
® AI,1
AI We,1
We build,1
build a,1
a model,1
that works,1
works for,1
"for you,",1
"you, without",1
without settling,1
settling on,1
on generic,1
generic #AI.,1
#AI. #LocalLLM,1
#LocalLLM #hallucination,1
#hallucination #GenAI,1
#GenAI https://t.co/KrHGVMA1Ye,1
📢 Claude,1
Claude 3.5,1
3.5 Sonnet,1
Sonnet Just,1
Just Dropped!,1
Dropped! 🚀,1
🚀 🔹,1
🔹 2x,1
2x faster,1
faster than,1
than Claude,1
Claude 3,1
3 Opus,1
Opus ⚡,1
⚡ Beats,1
Beats GPT-4o,1
GPT-4o in,1
in benchmarks,1
benchmarks 🚀,1
🚀 Free,2
Free on,1
on https://t.co/CQ9dr5JJXp,1
https://t.co/CQ9dr5JJXp &amp;,1
&amp; API,1
API access,1
access ❓,1
❓ Is,1
Is this,1
this the,1
the new,2
new speed,1
speed king?,1
king? Source:,1
Source: TechCrunch,1
TechCrunch #AI,1
#LLM #Anthropic,1
#SGPT https://t.co/MQTEGw2ixC,1
https://t.co/MQTEGw2ixC https://t.co/VfPKKUAoy1,1
Livebook 上で日本語テキスト埋め込みモデル,2
上で日本語テキスト埋め込みモデル Ruri,2
Ruri によるテキスト検索を実装する（Ollama,1
によるテキスト検索を実装する（Ollama 利用）,1
利用） https://t.co/8cvyhAKGuF,1
https://t.co/8cvyhAKGuF #Qiita,1
#Qiita #MyElixirStatus,2
#MyElixirStatus #LLM,2
#LLM @nakaji573より,2
Ruri によるテキスト検索を実装する,1
によるテキスト検索を実装する https://t.co/Mhd157atv7,1
https://t.co/Mhd157atv7 #Qiita,1
LLM系AIの社内浸透が進めば進むほど【甲】AIを使いこなし躍進する人、【乙】AIに振り回さる人、【丙】AI完全依存で自己喪失の人、の差が際立ってくる。甲乙丙いずれも組織に居続けるのでマネジメントの人としての能力が求められるようになる。#LLM #ChatGPT,1
#ChatGPT #Copilot,1
#Copilot #FAQ,1
🔥 My,1
My New,1
New Video,1
Video Episode,1
Episode 2!,1
2! 🔥,1
🔥 Learn,1
Learn AI,1
AI &amp;,1
&amp; Become,1
Become an,1
an AI,2
AI Engineer,1
Engineer 🚀,1
🚀 📹,1
📹 AI,1
AI Products,1
Products |,1
| Core,1
Core Principles,1
Principles |,1
| Large,1
Language Models,2
Models 👉,1
👉 Watch,1
Watch Now:,1
Now: https://t.co/sH3sWD5IhW,1
https://t.co/sH3sWD5IhW #AI,1
#AI #AIEngineer,1
#AIEngineer #LearnAI,1
#LearnAI #MachineLearning,1
#MachineLearning #TechEducation,1
#TechEducation #Urdu,1
#Urdu #Hindi,1
#Hindi #LLM,1
#LLM #DeepLearning,2
イーロンマスク「地球で最も賢いAI」と宣言ーーxAI、最新AIモデル「Grok 3」を正式リリース,1
3」を正式リリース 有料会員向けに提供開始,1
有料会員向けに提供開始 |,1
| https://t.co/NtfQqftWUK,1
https://t.co/NtfQqftWUK #LLM,1
#LLM #search,2
#search #reasoning,2
#reasoning #NLP,1
#NLP #AI,2
#AI https://t.co/dYFPopxN5N,1
"Amazon's COSMO,",1
"COSMO, an",1
"AI system,",1
"system, will",1
will revolutionize,1
revolutionize online,1
online shopping.,1
shopping. This,1
"This ""Common",1
"""Common Sense",1
Sense Knowledge,1
"Knowledge Generation""",1
"Generation"" system",1
system powers,1
powers Amazon,1
"Amazon Search,",1
"Search, bridging",1
bridging the,1
the gap,1
gap between,1
between queries,1
queries &amp;,1
&amp; intent.,1
intent. #amazon,1
#amazon #geo,1
#geo #genai,1
#genai #llm,1
#llm #performancemarketing,1
#performancemarketing #cosmo,1
#cosmo https://t.co/E98bCH1mkp,1
#Pienso 是一个,1
是一个 B2B,1
B2B 人工智能平台，它利用文本数据进行洞察力生成、文档智能和内容管理。,1
人工智能平台，它利用文本数据进行洞察力生成、文档智能和内容管理。 #AI,1
#LLM https://t.co/b5ewNHTStZ,1
Rio Yokota,1
Yokota of,1
of Institute,1
Institute of,1
of Science,1
Science Tokyo,1
Tokyo (new,1
(new name,1
name for,1
for Titech),1
Titech) giving,1
giving an,1
an update,1
update on,1
on #LLM,1
#LLM work,1
work using,1
using #supercomputers,1
#supercomputers in,1
in Japan,1
Japan at,1
at #MW25NZ,1
#MW25NZ mixed,1
mixed with,1
with an,1
an excellent,1
excellent overall,1
overall discussion,1
discussion of,1
of wider,1
wider international,1
international #AI,1
#AI evolution,1
evolution and,1
and advances,1
advances #HPC,1
#HPC https://t.co/YH4oLAtbkY,1
実践的なプロンプトエンジニアリング手法を解説 https://t.co/tl8z7G47a5,1
https://t.co/tl8z7G47a5 #プロンプトエンジニアリング,1
#プロンプトエンジニアリング #LLM,1
This MCP,1
MCP server,1
server allows,1
allows automation,1
automation of,1
of interactions,1
interactions with,1
with WordPress,1
WordPress sites,1
sites through,1
through the,2
the WordPress,1
WordPress REST,1
REST API,1
API using,1
using JSON-RPC,1
JSON-RPC 2.0,1
2.0 protocol.,1
protocol. https://t.co/7AiSgQslkI,1
https://t.co/7AiSgQslkI #mcp,1
#mcp #AI,1
#AI #llm,2
#llm #lrm,1
#lrm #WordPress,1
#WordPress #Automation,1
⚡ AI,1
AI just,1
just got,1
got faster!,1
faster! Speculative,1
Speculative Decoding,1
Decoding speeds,1
speeds up,1
up LLMs,1
LLMs by,2
by 2x–3x,1
2x–3x using,1
using a,2
a draft,1
draft model,1
model +,1
+ verification,1
verification model,1
model approach.,1
approach. ✅,1
✅ Faster,1
Faster AI,1
AI responses,1
responses ✅,1
✅ Retains,1
Retains accuracy,1
accuracy ✅,1
✅ Integrated,1
Integrated in,1
in LM,1
LM Studio,1
Studio 0.3.10,1
0.3.10 🔗,1
🔗 Read,1
Read more:,1
more: https://t.co/fb6bZLk7xs,1
https://t.co/fb6bZLk7xs #LLM,1
#LLM #SpeculativeDecoding,1
#SpeculativeDecoding #LMStudio,1
#LMStudio https://t.co/Yuzi742O9C,1
Grok 3,1
3 tops,1
tops LM,1
LM Marina,1
Marina leaderboard!,1
"leaderboard! Smart,",1
"Smart, ""mostly",1
"""mostly uncensored"",",1
"uncensored"", text-to-video,",1
"text-to-video, future",1
"future ""Super",1
"""Super Grok""",1
"Grok"" sub.",1
sub. Direct,1
Direct Twitter,1
Twitter data,1
"data access,",1
"access, truth-focused,",1
"truth-focused, Colossus-trained.",1
Colossus-trained. Passed,1
Passed vibe,1
vibe check,1
check with,1
with Spel,1
Spel code.,1
code. #AI,1
#AI #Grok3,1
#Grok3 #LLM,1
🎉Amazing work!,1
work! 🎓We’re,1
🎓We’re delighted,1
delighted that,1
that #myCobot280,1
#myCobot280 M5,1
M5 could,1
could support,1
support your,1
your study,1
study on,1
on vision,1
vision control,1
control using,1
using large-scale,1
large-scale vision-language,1
vision-language models.,1
models. Keep,1
Keep pushing,1
pushing boundaries!,1
boundaries! 🤖Keep,1
🤖Keep up,1
up the,2
the amazing,1
amazing work!🚀Learn,1
work!🚀Learn more👉https://t.co/NqtmLEG2FU,1
more👉https://t.co/NqtmLEG2FU #Robotics,1
#Robotics #TechInnovation,1
#TechInnovation #AI,1
#LLM #M5Stack,1
#M5Stack https://t.co/QW20X4ANY0,1
Staffing Magazine更新！,1
Magazine更新！ 本日は、「AI開発の新手法『LIMO』、数百件のデータで実現する高性能化」について解説しています。,1
本日は、「AI開発の新手法『LIMO』、数百件のデータで実現する高性能化」について解説しています。 ぜひチェックしてみてください！,1
ぜひチェックしてみてください！ #LIMO,1
#LIMO #LLM,1
#LLM #AIProfessional,1
#AIProfessional https://t.co/tKnGIMHRYz,1
"xAI, '세계에서",1
'세계에서 가장,1
가장 똑똑한',1
똑똑한' Grok-3,1
Grok-3 출시...추론,1
출시...추론 모델,1
모델 'DeepSearch'도,1
'DeepSearch'도 발표,1
발표 (출처:aitimes),1
(출처:aitimes) -xAI는,1
-xAI는 17일,1
17일 X(트위터),1
X(트위터) 이벤트를,1
이벤트를 통해,1
통해 그록-3를,1
그록-3를 발표.,1
발표. -세계,1
-세계 최대의,1
최대의 AI,1
AI 데이터센터,1
데이터센터 '콜로서스'에서,1
'콜로서스'에서 훈련된,1
"훈련된 것으로,",1
"것으로, 각종",1
각종 벤치마크에서,1
벤치마크에서 현존,1
현존 최강인,1
최강인 오픈AI,1
오픈AI 및,1
및 딥시크를,1
