document_id,clean_text,sentiment
1892095836839956836,"Dobby: The best LLM personality, outperforming SOTA models. Compare with Llama 70B: https://t.co/lcFI4d7mhX #AI #LLM for a couple of seconds
Dobby: the ultimate LLM personality—outshining SOTA. Thanks, @confident_ai. Compare: https://t.co/lcFI4d7mhX
#AI #LLM 

@SentientAGI",Positive
1892093508346880020,"sn-news: #open #ai #ml #llm Researchers open source Sky-T1, a ‘reasoning’ AI model that can be trained for less than $450 https://t.co/0SpdH3rCVY",Negative
1892091762023317995,"Introducing Root Judge, a powerful mid-sized LLM that enables reliable and customizable LLM system evaluations. Trained on 384 AMD Radeon Instinct™ MI250X GPUs using the LUMI Supercomputer. #LLM #LLMs #evaluation #llm_as_a_judge #llama @RootSignals
Check: https://t.co/VBiCck3jM8 https://t.co/UhOXzSwjD5",Positive
1892090363415756880,El lado del mal - Perplexity Pro Deep Research: Gratis para todos los clientes de Movistar https://t.co/g6UjCKsysq #Perplexity #Movistar #Telefónica #IA #AI #GenAI #LLM #DeepResearch https://t.co/ATuoABm6wk,Neutral
1892089823545974850,"「On Context Utilization in Summarization with Large Language Models」

LLMは100kトークンを超えるような長い入力コンテキストを扱えるようになったが、質問応答では、言語モデルは入力コンテキストの活用にばらつきがある。

https://t.co/DY1ZLXL64O

#論文 #LLM #エンジニア #スタートアップ",Positive
1892089011210158511,"The Attention Mechanism That Skips the Chit-Chat!!🚋
👉https://t.co/4tYbRSkIYF

#DeepSeek #attention #llm

DeepSeek dropped a new paper—Natively trainable Sparse Attention (NSA), a new sparse attention mechanism that integrates hardware-optimized design with a hierarchical sparse… https://t.co/4dCxmRtttH https://t.co/JHNHhCc2IK",Positive
1892085930443370889,DeepSeek in my Engineer’s Eyes @rsstabs https://t.co/b8gvrByaiq #llm-applications #genai #deepseek #generative-ai-tools #machine-learning,Neutral
1892084133322494439,Qwen #LLM ... What it really means https://t.co/FchthtRpey,Positive
1892083995912892526,SGPT-3.0 #LLM #Grok3 #SGPT https://t.co/16zam6f49j https://t.co/aVTfKGkI7F,Neutral
1892083197124440408,"This domain name  is for sale.
https://t.co/kh2NrPtLSy    

#ai #jais #LLM  #domain #GPT 
#Arab #Arabic #Dubai #ABUDhabi
@AI_Arabic1 @Algorand_Arabic
 #Domains #domainsales #jaisai
#DomainNameForSae #chatbot
@G42ai @core42_ai @Inception_AI https://t.co/kJHm8ZOqho",Neutral
