document_id,clean_text,sentiment
1,nisei femal born may selleck washington spent much childhood beaverton oregon father own farm influenc earli age parent convers christian world war ii remov portland assembl center oregon minidoka concentr camp idaho war work establish success volunt program feed homeless seattl washington,positive
2,nisei male born june seattl washington grew area seattl japanes american attend univers washington japan bomb pearl harbor remov puyallup assembl center washington minidoka concentr camp idaho left minidoka sever time temporari work leav work farm area suffer tragic loss camp father got lost outsid collect wood perish element volunt armi serv signal corp eventu work civil aeronaut administr boe also one earli member seattl nisei veteran committe,negative
3,nisei femal born octob seattl washington famili own oper success groceri store prior world war ii bomb pearl harbor remov puyallup assembl center washington minidoka concentr camp idaho left camp attend st mari school nurs rochest minnesota work medic field minnesota seattl eventu pursu career educ,positive
4,nisei femal born juli boyl height california earli age went live famili friend father pas away mother contract tuburculosi world war ii remov santa anita assembl center california granada amach concentr camp colorado camp mother relaps toshiko went live famili friend war return california,positive
5,sansei male born march torranc california grew lo angel area father sold insur activ lo angel koyasan buddhist templ boy scout troop perform drum bugl corp attend ucla join staff gidra asian american monthli newspapermagazin start group student eventu took father insur busi,neutral
6,nisei femal born august tacoma washington rais seattl washington famili oper groceri store attend washington grammar school garfield high school seattl follow bomb pearl harbor father arrest fbi sent missoula intern camp montana famili remov puyallup assembl center washington minidoka concentr camp idaho father decid repatri japan famili transport elli island detent station reunit father board repatri ship s gripsholm transfer crystal citi intern camp texa deni entri s gripsholm remain crystal citi durat war resettl boyl height neighborhood lo angel,positive
7,session elain kim led panel elain reiko akagi friend ann fujii lindwal arlen oki karen yoshitomi bill tashima remembr convers akagi elain reiko akagi devot life jacl teach child special educ need love anim activ detroit jr jacl earli led detroit chapter action vincent chin murder detroit move seattl akagi becam chapter presid akagi one chapter leader initi teacher workshop instruct teacher method teach lesson ja wwii classroom instil critic think student appli lesson current day issu akagi endow chapter scholarship primari purpos encourag student color go field special educ akagi firm believ child educ enhanc teacher look like,positive
8,nisei male born juli lindsay california follow bomb pearl harbor move famili idaho voluntari evacu work harvest sugar beet ui sugar compani volunt armi world war ii serv nd field artilleri battalion present liber one dachau concentr camp subcamp war settl salt lake citi utah,neutral
9,nisei male born june merc california grew mount eden california remov tanforan assembl center california bomb pearl harbor incarcer topaz concentr camp utah move tule lake concentr camp famili volunt move japan tule lake join projapan organ creat father sokoku kenkyu seinen dan young men associ studi motherland renounc u citizenship expatri japan parent sibl live work japan return unit state author betray trust stori deport issei americanborn famili wwii publish,positive
10,nisei male born may eastport idaho spent childhood spokan washington travel japan famili father becam ill die attend school japan three year return spokan work farm follow bomb pearl harbor volunt militari servic fail medic examin war took brief trip manzanar concentr camp california camp arkansa minidoka concentr camp idaho war work painter larg sign spokan,negative
